question,choice1,choice2,choice3,choice4,answer,explanation
日本の首都は？,東京,大阪,名古屋,福岡,1,東京は1868年から日本の首都です。
世界で一番大きな海は？,太平洋,大西洋,インド洋,北極海,1,太平洋は地球上で最大の海洋です。
富士山の標高は？,3776m,3666m,3886m,3556m,1,富士山の標高は3776メートルです。
人体で一番大きな臓器は？,皮膚,心臓,肝臓,肺,1,皮膚は人体最大の臓器で、成人で約1.6㎡の面積があります。
シェイクスピアの出身国は？,イギリス,フランス,ドイツ,イタリア,1,シェイクスピアは1564年にイギリスで生まれました。
地球に最も近い惑星は？,金星,火星,水星,木星,1,金星は地球に最も近い惑星で、「宵の明星」とも呼ばれます。
DNAの二重らせん構造を発見したのは？,ワトソンとクリック,アインシュタイン,ニュートン,メンデル,1,1953年にワトソンとクリックによって発見されました。
オリンピックの発祥の地は？,ギリシャ,ローマ,エジプト,ペルシャ,1,古代ギリシャのオリンピアで紀元前776年に始まりました。
人類が初めて月面に降り立った年は？,1969年,1959年,1979年,1989年,1,1969年7月20日、アポロ11号のニール・アームストロングが初めて月面に降り立ちました。
世界で最も多く話されている言語は？,中国語,英語,スペイン語,ヒンディー語,1,中国語（標準中国語）は約13億人の母語話者がいます。
ノーベル賞を設立した国は？,スウェーデン,ノルウェー,デンマーク,フィンランド,1,アルフレッド・ノーベルの遺言により、スウェーデンで設立されました。
世界最大の陸地面積を持つ国は？,ロシア,中国,アメリカ,カナダ,1,ロシアの国土面積は約1,710万平方キロメートルです。
人体の骨の数は？,206本,186本,226本,246本,1,成人の骨の数は206本です。
世界で最も深い海溝は？,マリアナ海溝,日本海溝,フィリピン海溝,トンガ海溝,1,マリアナ海溝の最深部は約11,000メートルです。
最初のコンピュータを発明したのは？,チャールズ・バベッジ,アラン・チューリング,ビル・ゲイツ,スティーブ・ジョブズ,1,1822年にチャールズ・バベッジが差分機関を考案しました。
周期表を考案したのは？,メンデレーエフ,アインシュタイン,ボーア,キュリー,1,1869年にドミトリ・メンデレーエフが周期表を発表しました。
万里の長城の総延長は？,21196km,15000km,18000km,25000km,1,実測による総延長は21,196キロメートルとされています。
人類最古の文字は？,楔形文字,ヒエログリフ,甲骨文字,フェニキア文字,1,紀元前3200年頃にメソポタミアで使用され始めました。
世界初のノーベル賞女性受賞者は？,マリー・キュリー,マザー・テレサ,ヘレン・ケラー,ロザリン・フランクリン,1,1903年に物理学賞、1911年に化学賞を受賞しました。
血液型の発見者は？,カール・ランドシュタイナー,アレクサンダー・フレミング,ルイ・パスツール,ロバート・コッホ,1,1900年にABO血液型を発見し、1930年にノーベル生理学・医学賞を受賞しました。